"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPS_US_PATH2198_R1","GPS_US_PATH2202_R1","GPS_US_PATH2210_R1","GPS_US_PATH2228_R1","GPS_US_PATH2234_R1","GPS_US_PATH2242_R1","GPS_US_PATH2248_R1","GPS_US_PATH2249_R1","GPS_US_PATH2250_R1","GPS_US_PATH2255_R1","GPS_US_PATH2268_R1","GPS_US_PATH2274_R1","GPS_US_PATH2296_R1","GPS_US_PATH2298_R1","GPS_US_PATH2307_R1","GPS_US_PATH3382_R1","GPS_US_PATH5902_R1","GPS_US_PATH5908_R1","GPS_US_PATH5912_R1","GPS_US_PATH5916_R1","GPS_US_PATH5924_R1","GPS_US_PATH5938_R1","PATH2203","PATH2207","PATH2211","PATH2215","PATH2218","PATH2220","PATH2225","PATH2226","PATH2229","PATH2230","PATH2231","PATH2233","PATH2239","PATH2240","PATH2251","PATH2253","PATH2256","PATH2261","PATH2262","PATH2263","PATH2264","PATH2265","PATH2267","PATH2272","PATH2279","PATH2280","PATH2281","PATH2285","PATH2290","PATH2294","PATH2295","PATH2297","PATH2300","PATH2311","PATH2313","PATH3356","PATH3359","PATH3360","PATH3366","PATH3370","PATH3375","PATH3379","PATH3383","PATH5904","PATH5906","PATH5907","PATH5909","PATH5915","PATH5922","PATH5923","PATH5926","PATH5930","PATH5931","PATH5934","PATH5935","PATH5941","PATH5942","PATH5944","PATH5946","PATH5947","PATH5950","PATH5952","PATH5953","PATH5960"
"metG2","","methionyl-tRNA synthetase","36","36","1","1","3327","1","2002","","1637","1637","1637","19084_7#73_01571","19084_7#74_00078","19084_7#75_00712","","19084_7#78_01659","","","19084_7#86_02094","19084_7#87_01276","19084_7#88_01179","19084_7#89_01216","19084_7#93_01504","","","19084_7#98_01202","19084_8#46_01918","","","","","","","11657_8#36_01350","11657_8#39_01385","","","","11658_2#44_01945","","11511_8#64_01300","11511_8#66_01990","","","","","11658_2#33_01900","","","","11657_4#76_01415","","","11657_4#77_01331","","11657_4#78_01476","","11822_8#80_01365","11679_1#73_01217","","11679_1#75_01244","","","","11679_1#79_01427","11657_4#86_00985","","","11679_1#82_01442","","","","11679_1#89_01986","","","11658_2#5_01504","","11657_8#52_01281","","11658_2#4_01690","11511_8#89_01499","","11679_1#95_01692","","11511_8#92_01230","","","","","12291_1#2_01149","","12291_1#6_00647","","","","","12291_1#20_01178"
"group_2820","","degenerate transposase","36","36","1","1","3334","1","2010","","320","320","320","19084_7#73_01576","19084_7#74_00072","19084_7#75_00706","","19084_7#78_01654","","","19084_7#86_02100","19084_7#87_01271","19084_7#88_01174","19084_7#89_01210","19084_7#93_01498","","","19084_7#98_01208","19084_8#46_01923","","","","","","","11657_8#36_01356","11657_8#39_01379","","","","11658_2#44_01951","","11511_8#64_01306","11511_8#66_01995","","","","","11658_2#33_01905","","","","11657_4#76_01421","","","11657_4#77_01337","","11657_4#78_01482","","11822_8#80_01371","11679_1#73_01223","","11679_1#75_01250","","","","11679_1#79_01421","11657_4#86_00979","","","11679_1#82_01448","","","","11679_1#89_01980","","","11658_2#5_01499","","11657_8#52_01287","","11658_2#4_01065","11511_8#89_01505","","11679_1#95_01698","","11511_8#92_01224","","","","","12291_1#2_01155","","12291_1#6_00641","","","","","12291_1#20_01173"
"group_2821","","degenerate transposase","36","36","1","1","3335","1","2011","","215","215","215","19084_7#73_01577","19084_7#74_00071","19084_7#75_00705","","19084_7#78_01653","","","19084_7#86_02101","19084_7#87_01270","19084_7#88_01173","19084_7#89_01209","19084_7#93_01497","","","19084_7#98_01209","19084_8#46_01924","","","","","","","11657_8#36_01357","11657_8#39_01378","","","","11658_2#44_01952","","11511_8#64_01307","11511_8#66_01996","","","","","11658_2#33_01906","","","","11657_4#76_01422","","","11657_4#77_01338","","11657_4#78_01483","","11822_8#80_01372","11679_1#73_01224","","11679_1#75_01251","","","","11679_1#79_01420","11657_4#86_00978","","","11679_1#82_01449","","","","11679_1#89_01979","","","11658_2#5_01498","","11657_8#52_01288","","11658_2#4_01066","11511_8#89_01506","","11679_1#95_01699","","11511_8#92_01223","","","","","12291_1#2_01156","","12291_1#6_00640","","","","","12291_1#20_01172"
"group_2822","","Cro/CI family transcriptional regulator","36","36","1","1","3336","1","2012","","203","203","203","19084_7#73_01578","19084_7#74_00070","19084_7#75_00704","","19084_7#78_01652","","","19084_7#86_02102","19084_7#87_01269","19084_7#88_01172","19084_7#89_01208","19084_7#93_01496","","","19084_7#98_01210","19084_8#46_01925","","","","","","","11657_8#36_01358","11657_8#39_01377","","","","11658_2#44_01953","","11511_8#64_01308","11511_8#66_01997","","","","","11658_2#33_01907","","","","11657_4#76_01423","","","11657_4#77_01339","","11657_4#78_01484","","11822_8#80_01373","11679_1#73_01225","","11679_1#75_01252","","","","11679_1#79_01419","11657_4#86_00977","","","11679_1#82_01450","","","","11679_1#89_01978","","","11658_2#5_01497","","11657_8#52_01289","","11658_2#4_01067","11511_8#89_01507","","11679_1#95_01700","","11511_8#92_01222","","","","","12291_1#2_01157","","12291_1#6_00639","","","","","12291_1#20_01171"
"iphP","","Protein tyrosine phosphatase","36","36","1","1","3329","1","2004","","767","776","768","19084_7#73_01572","19084_7#74_00077","19084_7#75_00711","","19084_7#78_01658","","","19084_7#86_02095","19084_7#87_01275","19084_7#88_01178","19084_7#89_01215","19084_7#93_01503","","","19084_7#98_01203","19084_8#46_01919","","","","","","","11657_8#36_01351","11657_8#39_01384","","","","11658_2#44_01946","","11511_8#64_01301","11511_8#66_01991","","","","","11658_2#33_01901","","","","11657_4#76_01416","","","11657_4#77_01332","","11657_4#78_01477","","11822_8#80_01366","11679_1#73_01218","","11679_1#75_01245","","","","11679_1#79_01426","11657_4#86_00984","","","11679_1#82_01443","","","","11679_1#89_01985","","","11658_2#5_01503","","11657_8#52_01282","","11658_2#4_01689","11511_8#89_01500","","11679_1#95_01693","","11511_8#92_01229","","","","","12291_1#2_01150","","12291_1#6_00646","","","","","12291_1#20_01177"
"group_2930","","cell wall surface anchor family protein","36","36","1","1","4566","1","1571","","2660","2660","2660","","19084_7#74_01467","19084_7#75_01852","19084_7#77_00062","","19084_7#80_01027","","","","","19084_7#89_01121","19084_7#93_01989","","","","","","","19084_8#109_00566","19084_8#110_00585","","","11657_8#36_01236","11657_8#39_01296","","11658_2#46_00933","11679_1#63_01835","","","11511_8#64_01443","","","","","","11658_2#33_01527","","","","11657_4#76_00977","","","11657_4#77_01171","","11657_4#78_01365","11658_2#24_01985","11822_8#80_01911","11679_1#73_01104","","11679_1#75_01333","","11658_2#19_00044","","11679_1#79_00715","11657_4#86_01190","","","11679_1#82_00086","11657_8#46_00432","","","","","","","11679_1#93_00891","11657_8#52_02098","11658_8#11_01959","","","","","11657_8#56_00186","11511_8#92_01077","","11657_4#95_00566","13154_2#34_02148","","12291_1#2_01762","12291_1#4_00512","","12291_1#7_00716","","","",""
"group_416","","IS630-Spn1, transposase Orf1","36","36","1","1","3433","1","643","","329","353","343","","19084_7#74_00023","19084_7#75_01525","","","","","","19084_7#87_01177","19084_7#88_01080","19084_7#89_01736","19084_7#93_01693","19084_7#95_00677","19084_7#96_00500","19084_7#98_01282","19084_8#46_00088","","","","","","","","11657_8#39_01933","11679_1#60_01287","","11679_1#63_01821","","","11511_8#64_01705","","","11658_2#37_01365","","11657_8#42_00951","11658_2#33_02159","11511_8#69_01744","","","11657_4#76_01651","","","","","11657_4#78_01692","","11822_8#80_01686","11679_1#73_01776","","11679_1#75_01741","11657_4#83_00639","","11657_4#85_00870","11679_1#79_01832","11657_4#86_01689","","","","","11511_8#81_01818","","","","","","","11657_8#52_01795","","","","","","11657_8#56_01726","11511_8#92_01817","11511_8#93_01739","","13154_2#34_01549","12291_1#1_01677","12291_1#2_01820","","12291_1#6_01802","","","","",""
"group_607","","esterase superfamily protein","36","36","1","1","3884","1","1767","","182","740","342","","","","","","19084_7#80_01294","","","","19084_7#88_00111","","","","19084_7#96_01820","19084_7#98_01085","19084_8#46_00230","19084_8#106_00743","","19084_8#109_01797","19084_8#110_01922","19084_8#111_02070","","","","","11658_2#46_00588","11679_1#63_01513","","11658_2#39_01486","","11511_8#66_01648","","","11511_8#67_01097","","11658_2#33_01629","11511_8#69_02084","","11658_2#28_00769","","","11511_8#71_00270","","","","11658_2#24_00658","","","11658_2#23_00617","","11657_4#83_00847","11658_2#19_01258","","","","11658_2#12_00444","11658_2#11_01676","","11657_8#46_01821","11511_8#81_01592","","","","11657_4#90_01472","11658_2#5_02018","","","","11658_2#4_00513","","11679_1#94_01143","11679_1#95_01667","","","","11657_4#95_01034","","","","","12291_1#6_00004","12291_1#7_00904","12838_1#61_01229","12291_1#12_01415","",""
"drrA_2","","ABC transporter ATP-binding protein","36","39","1.09","1","3330","1","2007","","341","1019","854","19084_7#73_01573","19084_7#74_00075","19084_7#75_00710","","19084_7#78_01657","","","19084_7#86_02097	19084_7#86_02096","19084_7#87_01274","19084_7#88_01177","19084_7#89_01214","19084_7#93_01502","","","19084_7#98_01205","19084_8#46_01920","","","","","","","11657_8#36_01352","11657_8#39_01383","","","","11658_2#44_01948","","11511_8#64_01302","11511_8#66_01992","","","","","11658_2#33_01902","","","","11657_4#76_01417","","","11657_4#77_01333","","11657_4#78_01478","","11822_8#80_01367","11679_1#73_01219","","11679_1#75_01246","","","","11679_1#79_01425","11657_4#86_00983","","","11679_1#82_01444","","","","11679_1#89_01983","","","11658_2#5_01502","","11657_8#52_01283","","11658_2#4_01062","11511_8#89_01502	11511_8#89_01501","","11679_1#95_01695	11679_1#95_01694","","11511_8#92_01228","","","","","12291_1#2_01151","","12291_1#6_00644","","","","","12291_1#20_01176"
"group_74","","transposase","36","44","1.23","1","839","1","1915","","263","602","397","","","19084_7#75_01396","19084_7#77_01239","","","19084_7#85_01860	19084_7#85_01870","","","","19084_7#89_01409","19084_7#93_01614","19084_7#95_01491	19084_7#95_01500","","19084_7#98_01587","","","19084_8#107_02040","19084_8#109_01071","19084_8#110_01185","19084_8#111_01589","19084_8#113_01835	19084_8#113_01844","","","11679_1#60_01494	11679_1#60_01484	11679_1#60_01485","","11679_1#63_01075","","","","11511_8#66_01521","11658_2#38_01196	11658_2#38_01205","11658_2#37_00614","","11657_8#42_00981","11658_2#33_01127","11511_8#69_00897","11679_1#70_00495	11679_1#70_00486","","11657_4#76_01273	11657_4#76_01275","","","11657_4#77_01554","","11657_4#78_01561","11658_2#24_01486","","","","11679_1#75_01535","11657_4#83_00774","11658_2#19_01101","","","","11658_2#12_00749","","","","","11893_8#29_00685","","","","","11679_1#93_02069","11657_8#52_01024","11658_8#11_01111","","","","","","","","","","","","12291_1#4_01100","","12291_1#7_00296","","","","12291_1#20_01983"
"group_872","","ABC transporter periplasmic","36","36","1","1","2942","28","2","","137","308","301","","","19084_7#75_00024","","","","","","","","19084_7#89_00452","19084_7#93_00024","19084_7#95_01557","19084_7#96_00952","19084_7#98_00249","","","","","","","","11657_8#36_00254","11657_8#39_00828","11679_1#60_00868","","","","","11511_8#64_00548","","","11658_2#37_01763","","11657_8#42_00748","","11511_8#69_01935","11679_1#70_01908","11658_2#28_01522","11657_4#76_00550","11658_2#27_00890","","11657_4#77_00627","","11657_4#78_01048","","11822_8#80_00738","11679_1#73_00600","11658_2#23_00358","11679_1#75_00625","","","","11679_1#79_00327","11657_4#86_00024","","11658_2#11_00938","11679_1#82_00700","","11511_8#81_01312","11893_8#29_01625","","","","","","11657_8#52_00629","","","","","","","11511_8#92_00580","11511_8#93_00745","","","12291_1#1_01014","12291_1#2_00024","","12291_1#6_00499","","","","","12291_1#20_00657"
"group_1603","","phosphotransferase","35","35","1","1","3360","1","2175","","209","422","246","","19084_7#74_00067","","19084_7#77_01511","","","19084_7#85_00690","19084_7#86_02106","","","","","","","19084_7#98_01214","","19084_8#106_01525","","19084_8#109_01356","19084_8#110_01263","","19084_8#113_01551","","","","","","11658_2#44_01957","11658_2#39_01539","","11511_8#66_02001","11658_2#38_01786","11658_2#37_01537","11511_8#67_01625","","11658_2#33_01912","11511_8#69_00744","","","","","11511_8#71_00193","","","","11658_2#24_01771","","","","","11657_4#83_01536","11658_2#19_01934","","","","11658_2#12_01179","11658_2#11_01214","","","","11893_8#29_01851","11679_1#89_01974","","11657_4#90_00942","","11679_1#93_01226","","","","11511_8#89_01511","11679_1#94_01358","11679_1#95_01703","","","","11657_4#95_01902","13154_2#34_01987","","","12291_1#4_01929","12291_1#6_00635","12291_1#7_01562","","","",""
"group_1740","","Secreted protein","35","35","1","1","534","1","251","","1352","1352","1352","19084_7#73_00100","19084_7#74_01943","19084_7#75_01957","","19084_7#78_00180","","19084_7#85_00604","","19084_7#87_00531","19084_7#88_00436","19084_7#89_01631","19084_7#93_00843","","","","19084_8#46_00721","","","","","19084_8#111_01257","","11657_8#36_00655","11657_8#39_01462","","","","","","11511_8#64_00778","11511_8#66_00417","","","11511_8#67_00790","","11658_2#33_00053","","","11658_2#28_02086","11657_4#76_00771","","","11657_4#77_00178","","11657_4#78_00697","","11822_8#80_00913","11679_1#73_01597","","11679_1#75_00206","","","","11679_1#79_00949","11657_4#86_00897","","","11679_1#82_00237","","","11893_8#29_02124","","","","","","11657_8#52_00684","","11658_2#4_02135","","11679_1#94_00510","","","11511_8#92_00459","","","","","12291_1#2_00731","","","","","12291_1#12_00522","","12291_1#20_02150"
"group_1876","desK","histidine kinase","35","35","1","1","696","1","1656","","1097","1097","1097","19084_7#73_01753","","","19084_7#77_01330","19084_7#78_01759","","19084_7#85_01799","","19084_7#87_01653","19084_7#88_01650","","","19084_7#95_01424","19084_7#96_01980","","19084_8#46_01770","19084_8#106_01138","19084_8#107_01976","19084_8#109_01163","19084_8#110_01094","19084_8#111_01524","","","","11679_1#60_01561","","","","","","","","11658_2#37_00550","11511_8#67_01950","11657_8#42_01048","11658_2#33_01069","11511_8#69_00833","11679_1#70_00562","","","","","","","","11658_2#24_01355","","","","","","11658_2#19_01010","","","","","11658_2#11_01522","","","11511_8#81_01761","11893_8#29_00749","","11658_8#9_01753","11657_4#90_01971","","","","","11658_2#4_01242","","11679_1#94_01411","","","","","11657_4#95_00577","","","","12291_1#4_01009","","12291_1#7_00205","12838_1#61_01307","","","12291_1#20_01607"
"group_1945","","hypothetical protein","35","35","1","1","2071","1","1200","","239","239","239","","","19084_7#75_00313","19084_7#77_00714","","","","","","","19084_7#89_00742","19084_7#93_00311","19084_7#95_01302","","19084_7#98_00989","","","","","19084_8#110_00731","","","11657_8#36_01128","11657_8#39_01164","","","","","11658_2#39_01620","11511_8#64_01136","","","","","11657_8#42_00102","","","11679_1#70_00998","","11657_4#76_00919","","11511_8#71_01083","11657_4#77_00033","","11657_4#78_00117","","11822_8#80_00172","11679_1#73_00973","","11679_1#75_01646","11657_4#83_02132","11658_2#19_01182","","11679_1#79_01536","","11658_2#12_01571","","11679_1#82_01278","","","","11679_1#89_01022","11658_8#9_01929","","","","11657_8#52_00034","","","","","","11657_8#56_00965","","","11657_4#95_00864","13154_2#34_01756","","12291_1#2_00310","12291_1#4_01616","12291_1#6_00145","12291_1#7_01720","","","",""
"group_2355","","degenerate transposase","35","35","1","1","3282","1","2729","","185","269","187","19084_7#73_02045","19084_7#74_00083","19084_7#75_00724","","19084_7#78_01776","","","19084_7#86_01815","19084_7#87_01974","19084_7#88_01963","19084_7#89_01228","19084_7#93_01516","","","19084_7#98_02198","19084_8#46_01906","","","","","","","11657_8#36_01338","11657_8#39_01397","","","","11658_2#44_01376","","11511_8#64_01288","","","","","","11658_2#33_02184","","","","11657_4#76_01403","","","11657_4#77_01319","","11657_4#78_01464","","11822_8#80_01353","11679_1#73_01205","","11679_1#75_01232","","","","11679_1#79_01052","11657_4#86_00997","","","11679_1#82_01430","","","","11679_1#89_01516","","","11658_2#5_01511","","11657_8#52_01269","","11658_2#4_01843","11511_8#89_01968","","11679_1#95_01089","","11511_8#92_01242","","","","","12291_1#2_01137","","12291_1#6_01997","","","","","12291_1#20_01421"
"group_2356","","degenerate transposase","35","35","1","1","3283","1","2728","","668","974","720","19084_7#73_02046","19084_7#74_00084","19084_7#75_00725","","19084_7#78_01777","","","19084_7#86_01816","19084_7#87_01975","19084_7#88_01964","19084_7#89_01229","19084_7#93_01517","","","19084_7#98_02197","19084_8#46_01905","","","","","","","11657_8#36_01337","11657_8#39_01398","","","","11658_2#44_01377","","11511_8#64_01287","","","","","","11658_2#33_02185","","","","11657_4#76_01402","","","11657_4#77_01318","","11657_4#78_01463","","11822_8#80_01352","11679_1#73_01204","","11679_1#75_01231","","","","11679_1#79_01053","11657_4#86_00998","","","11679_1#82_01429","","","","11679_1#89_01515","","","11658_2#5_01512","","11657_8#52_01268","","11658_2#4_01842","11511_8#89_01967","","11679_1#95_01088","","11511_8#92_01243","","","","","12291_1#2_01136","","12291_1#6_01996","","","","","12291_1#20_01422"
"group_2700","","hypothetical protein","35","35","1","1","535","1","252","","467","467","467","19084_7#73_00099","19084_7#74_01942","19084_7#75_01958","","19084_7#78_00181","","19084_7#85_00605","","19084_7#87_00532","19084_7#88_00435","19084_7#89_01632","19084_7#93_00844","","","","19084_8#46_00722","","","","","19084_8#111_01256","","11657_8#36_00654","11657_8#39_01463","","","","","","11511_8#64_00779","11511_8#66_00416","","","11511_8#67_00791","","11658_2#33_00054","","","11658_2#28_02085","11657_4#76_00772","","","11657_4#77_00177","","11657_4#78_00698","","11822_8#80_00914","11679_1#73_01598","","11679_1#75_00207","","","","11679_1#79_00950","11657_4#86_00898","","","11679_1#82_00238","","","11893_8#29_02125","","","","","","11657_8#52_00683","","11658_2#4_02136","","11679_1#94_00511","","","11511_8#92_00460","","","","","12291_1#2_00730","","","","","12291_1#12_00521","","12291_1#20_02151"
"group_2978","","hypothetical protein","35","35","1","1","5023","1","1323","","338","338","338","","","19084_7#75_00352","19084_7#77_00751","","","","","","","19084_7#89_02226","19084_7#93_00349","","","","","","","","19084_8#110_00768","","","","11657_8#39_01202","","","","","11658_2#39_01584","11511_8#64_01174","","11658_2#38_02104","","","","","","11679_1#70_00959","","11657_4#76_01862","","11511_8#71_02201","11657_4#77_00071","","11657_4#78_00155","","11822_8#80_00210","11679_1#73_01011","11658_2#23_01294","11679_1#75_01608","11657_4#83_02096","11658_2#19_01145","","11679_1#79_01497","11657_4#86_01463","11658_2#12_02156","","11679_1#82_01316","11657_8#46_01034","","","11679_1#89_01058","11658_8#9_01990","","","","11657_8#52_00072","","","","","","11657_8#56_00929","11511_8#92_01493","","11657_4#95_00828","13154_2#34_01716","","","12291_1#4_01653","","12291_1#7_01683","","","12291_1#13_01859",""
"nplT_2","","neopullulanase","35","35","1","1","3181","1","1957","","128","1454","521","","","19084_7#75_00745","19084_7#77_01516","","","","","","","19084_7#89_01249","19084_7#93_01537","","","","","19084_8#106_01530","","19084_8#109_01351","19084_8#110_01268","","","11657_8#36_01317","11657_8#39_01418","","","","","11658_2#39_01543","11511_8#64_01267","11511_8#66_01589","11658_2#38_01782","","","","","","","","11657_4#76_01382","","11511_8#71_00189","11657_4#77_01298","","11657_4#78_01443","11658_2#24_01766","11822_8#80_01332","11679_1#73_01184","","11679_1#75_01211","11657_4#83_01540","11658_2#19_01929","","11679_1#79_01073","11657_4#86_01018","11658_2#12_01183","","11679_1#82_01409","","","","","","","","11679_1#93_01230","11657_8#52_01248","","","","","","","11511_8#92_01263","","11657_4#95_01897","13154_2#34_01982","","12291_1#2_01116","12291_1#4_01924","","12291_1#7_01567","","","",""
"lagD_2","","competence factor transporting ATP-binding protein/permease ComA","35","51","1.46","1","4637","1","2475","","440","2153","1221","","","","19084_7#77_02035","","19084_7#80_01729	19084_7#80_01728","19084_7#85_00244	19084_7#85_00246	19084_7#85_00245	19084_7#85_00243","19084_7#86_00901","","","","","19084_7#95_00535","19084_7#96_00897","","","19084_8#106_00410","19084_8#107_00996	19084_8#107_00995","19084_8#109_01950","19084_8#110_01707","","19084_8#113_00032	19084_8#113_00034	19084_8#113_00033	19084_8#113_00031","","","11679_1#60_01972","11658_2#46_01836	11658_2#46_01837","","11658_2#44_01977","","","","","","11511_8#67_01473	11511_8#67_01474","11657_8#42_01917","11658_2#33_02037	11658_2#33_02038","","11679_1#70_02016","","","","","","","","11658_2#24_01751","","","11658_2#23_00024","","","11658_2#19_00775","","","","","11658_2#11_01847","","","11511_8#81_01095","","11679_1#89_01994","11658_8#9_02034","11657_4#90_01768	11657_4#90_01769","","","","","","","11679_1#94_02080	11679_1#94_02079","11679_1#95_01349	11679_1#95_01350","","","","11657_4#95_01845","","","","12291_1#4_01951","","12291_1#7_01943","12838_1#61_01672","12291_1#12_00785	12291_1#12_00786","12291_1#13_01733","12291_1#20_01887	12291_1#20_01888"
"group_757","","alpha-fucosidase","35","35","1","1","2175","65","1","","914","2411","2367","19084_7#73_01327","19084_7#74_00563","","","19084_7#78_01097","19084_7#80_01093","19084_7#85_01185","","19084_7#87_01040","19084_7#88_00943","","","","","","19084_8#46_01728","19084_8#106_01382","19084_8#107_01735","19084_8#109_00248","19084_8#110_00456","19084_8#111_00568","19084_8#113_01205","","","","11658_2#46_00975","11679_1#63_00273","","","","11511_8#66_00350","","11658_2#37_00817","11511_8#67_00231","","","11511_8#69_01136","","","","11658_2#27_00736","","","","","11658_2#24_01204","","","11658_2#23_01568","","","","","","","","11658_2#11_01075","","11657_8#46_00593","","11893_8#29_00189","","","","","","","11658_8#11_00523","11658_2#4_01867","11511_8#89_01107","11679_1#94_00206","","","","","","13154_2#34_00708","","","12291_1#4_00263","","12291_1#7_00605","","","12291_1#13_00729","12291_1#20_01504"
"group_83","","transposase","35","35","1","1","1638","1","3","","299","398","381","","","19084_7#75_00166","","","","","19084_7#86_00735","","","19084_7#89_00595","19084_7#93_00166","19084_7#95_01701","19084_7#96_01112","19084_7#98_00084","","","19084_8#107_01664","","","19084_8#111_00497","","","11657_8#39_00686","11679_1#60_01012","","","11658_2#44_00517","11658_2#39_00926","11511_8#64_00406","11511_8#66_00280","","11658_2#37_00748","","11657_8#42_00603","","11511_8#69_01066","11679_1#70_00329","","11657_4#76_00410","","11511_8#71_00696","11657_4#77_00487","","11657_4#78_00907","","","11679_1#73_00741","","11679_1#75_00767","","","","11679_1#79_00469","","","","","","11511_8#81_01152","11893_8#29_00119","","11658_8#9_01350","","","","11657_8#52_00487","","","11511_8#89_01178","","","","11511_8#92_00721","","","","12291_1#1_00479","12291_1#2_00165","","12291_1#6_00239","","","","",""
"msbA_4","","multidrug resistance protein 3","35","35","1","1","826","4","12","","413","1160","964","19084_7#73_01679","19084_7#74_02059","","","19084_7#78_01685","19084_7#80_02132","","","19084_7#87_01727","19084_7#88_01724","","","19084_7#95_01511","19084_7#96_01901","19084_7#98_01605","19084_8#46_01844","","","","","19084_8#111_01607","","","","11679_1#60_01473","","11679_1#63_00994","","","","11511_8#66_01502","","11658_2#37_02041","11511_8#67_01135","","","11511_8#69_00915","11679_1#70_00475","","11657_4#76_02028","","","","11511_8#72_01775","","","","","11658_2#23_01441","","","","11657_4#85_00905","","","","11658_2#11_02069","","11657_8#46_02063","11511_8#81_01682","11893_8#29_00667","","","11657_4#90_01253","11658_2#5_01580","","","11658_8#11_01336","11658_2#4_01168","","11679_1#94_02003","","11657_8#56_01797","","","","","","","","12291_1#6_01932","","12838_1#61_01382","","","12291_1#20_02062"
"group_1319","fucI","L-fucose isomerase","34","34","1","1","865","3","1","","1019","1766","1744","19084_7#73_00827","19084_7#74_01390","","","19084_7#78_00640","","19084_7#85_01517","19084_7#86_01179","19084_7#87_01364","19084_7#88_01526","","","19084_7#95_01859","19084_7#96_01243","19084_7#98_00714","19084_8#46_01516","","","","","19084_8#111_00970","19084_8#113_01375","","","","","","11658_2#44_01028","11658_2#39_00485","","","11658_2#38_00210","11658_2#37_00833","","11657_8#42_01149","","11511_8#69_00492","","11658_2#28_01414","","11658_2#27_01167","11511_8#71_01177","","","","","","","","","11657_4#83_00376","","","","","11658_2#12_01237","","","","11511_8#81_01363","11893_8#29_00530","11679_1#89_00371","11658_8#9_01488","11657_4#90_00593","11658_2#5_01401","11679_1#93_01495","","","11658_2#4_01670","","","11679_1#95_00500","","","","","","","","","12291_1#6_00828","","","","",""
"group_1516","","transposase","34","34","1","1","1754","1","2623","","305","797","420","19084_7#73_01934","","19084_7#75_00478","","19084_7#78_01970","","19084_7#85_00991","","19084_7#87_00751","19084_7#88_00671","19084_7#89_00117","19084_7#93_00474","","19084_7#96_01391","","19084_8#46_00860","","","","","","19084_8#113_01011","11657_8#36_00455","11657_8#39_00117","","11658_2#46_02157","","","11658_2#39_00064","11511_8#64_00178","","11658_2#38_00361","","","","","","","","11657_4#76_00180","","11511_8#71_00062","11657_4#77_00827","","11657_4#78_00278","","11822_8#80_00335","11679_1#73_00178","","11679_1#75_00425","11657_4#83_01033","","","11679_1#79_00178","11657_4#86_00356","11658_2#12_02231","","11679_1#82_00499","","11511_8#81_00637","","","","","","11679_1#93_00216","11657_8#52_00198","","","","","","","11511_8#92_00138","","","","","12291_1#2_00515","","","","","","",""
"resA","","thioredoxin","34","34","1","1","3109","96","2","","239","557","547","19084_7#73_01080","19084_7#74_00146","19084_7#75_00789","","19084_7#78_01212","19084_7#80_01953","","19084_7#86_00003","19084_7#87_00003","19084_7#88_00003","19084_7#89_01991","19084_7#93_01775","19084_7#95_00702","","19084_7#98_01505","19084_8#46_00115","19084_8#106_01926","19084_8#107_00153","","","19084_8#111_01125","19084_8#113_00493","","","","","11679_1#63_00498","","11658_2#39_01162","","","11658_2#38_00796","11658_2#37_01138","","","11658_2#33_01307","","","11658_2#28_00663","","","","","","","","","","11658_2#23_00513","","","","","","","","11658_2#11_01426","","","","11893_8#29_01325","11679_1#89_01894","","","11658_2#5_01665","11679_1#93_01040","11657_8#52_01528","","","11511_8#89_00396","","","11657_8#56_00811","","","","","","12291_1#2_01634","","","","","","12291_1#13_01654",""
"group_1951","","putative helicase","34","34","1","1","2057","1","1215","","686","1193","1178","","","19084_7#75_00327","19084_7#77_00724","","","","","","","19084_7#89_00755","19084_7#93_00324","","","19084_7#98_00976","","19084_8#106_01016","","","19084_8#110_00741","","","11657_8#36_01141","11657_8#39_01177","11679_1#60_02025","","","","11658_2#39_01610","11511_8#64_01149","","","","","","","","","","11657_4#76_00932","","11511_8#71_01093","11657_4#77_00046","","11657_4#78_00130","","11822_8#80_00185","11679_1#73_00986","11658_2#23_01319","11679_1#75_01633","11657_4#83_02122","11658_2#19_01172","","11679_1#79_01523","","11658_2#12_01558","","11679_1#82_01291","11657_8#46_01061","","","11679_1#89_01032","","","","","11657_8#52_00047","","","","","","","","","11657_4#95_00854","13154_2#34_01743","","12291_1#2_00323","12291_1#4_01626","12291_1#6_00155","12291_1#7_01710","","","",""
"group_2106","","membrane protein","34","34","1","1","4918","1","2497","","617","1136","1120","19084_7#73_00028","","19084_7#75_01600","","19084_7#78_00251","","","","19084_7#87_00602","19084_7#88_00365","19084_7#89_01700","19084_7#93_00912","","","","19084_8#46_00790","","19084_8#107_01459","","","19084_8#111_01924","","11657_8#36_00586","11657_8#39_01531","","","","","","11511_8#64_01800","","","","11511_8#67_01689","","","","","11658_2#28_01074","11657_4#76_01509","11658_2#27_00041","","11657_4#77_00109","11511_8#72_01498","11657_4#78_00766","","11822_8#80_00982","11679_1#73_01523","","11679_1#75_00275","","","11657_4#85_01719","11679_1#79_01018","11657_4#86_01897","","","11679_1#82_00306","","","","","","","","","11657_8#52_01730","","11658_2#4_01627","","11679_1#94_01869","","","11511_8#92_00528","","","","","12291_1#2_00662","","","","","12291_1#12_01938","12291_1#13_02183",""
