"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPS_NP_0007","GPS_NP_0011","GPS_NP_0012","GPS_NP_0014","GPS_NP_0022","GPS_NP_0032","GPS_NP_0034","GPS_NP_0045","GPS_NP_0055","GPS_NP_0064","GPS_NP_1068","GPS_NP_1179","GPS_NP_1229","GPS_NP_1248","GPS_NP_1253","GPS_NP_1362","GPS_NP_1367","GPS_NP_1378","GPS_NP_1381","GPS_NP_2025","GPS_NP_2111","GPS_NP_2394","GPS_NP_2454","GPS_NP_2513","GPS_NP_2560","GPS_NP_4001","GPS_NP_4027","GPS_NP_4038","GPS_NP_4057","GPS_NP_4071","GPS_NP_4073","GPS_NP_4109","GPS_NP_4122","GPS_NP_4137","GPS_NP_4141","GPS_NP_4161","GPS_NP_4176","GPS_NP_4179","GPS_NP_6036","GPS_NP_6094","GPS_NP_6181","GPS_NP_6305","GPS_NP_6396","GPS_NP_6555","GPS_NP_6623","GPS_NP_6701","GPS_NP_6741","GPS_NP_6855","GPS_NP_6976","GPS_NP_8017","GPS_NP_8019","GPS_NP_8024","GPS_NP_8036","GPS_NP_8042","GPS_NP_8052","GPS_NP_8081","GPS_NP_8088","GPS_NP_8101","GPS_NP_8104","GPS_NP_8105","GPS_NP_8108","GPS_NP_8113","GPS_NP_8142","GPS_NP_8146","GPS_NP_8167","GPS_NP_8174","GPS_NP_8178","GPS_NP_8182","GPS_NP_8185","GPS_NP_8190","GPS_NP_8224","GPS_NP_8227","GPS_NP_8230","GPS_NP_8235","GPS_NP_8244","GPS_NP_8265","GPS_NP_8274","GPS_NP_8278","GPS_NP_9018","GPS_NP_9025","GPS_NP_9027","GPS_NP_9038","GPS_NP_9044","GPS_NP_9062","GPS_NP_9067","GPS_NP_9073","GPS_NP_9080","GPS_NP_9087","GPS_NP_9094","GPS_NP_9095","GPS_NP_9121","GPS_NP_9135","GPS_NP_9141","GPS_NP_9149","GPS_NP_9151","GPS_NP_9153","GPS_NP_9154","GPS_NP_9157","GPS_NP_9161","GPS_NP_9170"
"group_6437","trxA_1","thioredoxin reductase","100","100","1","1","4678","","","","911","911","911","16288_3#7_00148","17138_5#50_00600","16288_7#10_01412","16288_7#12_00116","16288_7#20_00685","16288_3#12_00127","16288_3#14_00931","16288_8#60_01904","16288_3#34_00087","16288_3#43_00239","17138_5#56_00116","16288_7#55_01649","16288_7#74_00099","16288_7#82_01168","16288_7#83_01951","16288_8#40_00126","16288_8#44_00113","16288_8#47_00189","16288_8#50_01012","16288_3#71_00983","16288_3#81_01886","16288_3#54_01235","16288_4#43_00228","16288_4#49_00051","16288_4#52_00048","16288_4#59_01487","16288_4#69_00728","16288_4#73_01353","16288_4#83_01714","16288_5#5_00180","16288_5#46_01010","16288_5#19_00490","16288_5#23_00558","16288_5#31_00872","16288_5#33_01550","16288_5#40_00714","16288_5#44_01574","16288_5#45_00442","16288_5#54_00564","16288_5#60_00240","16288_5#75_01232","17138_5#13_01467","16288_6#15_01133","16288_6#30_01748","17138_5#31_01754","16288_6#49_00405","17138_5#34_00480","16288_6#73_01661","16288_8#64_01166","28832_1#91_01237","28832_1#9_01145","28832_1#113_01255","28832_1#125_02156","28832_1#324_01726","28832_1#160_01864","28832_1#245_00467","28832_1#116_00985","28832_1#145_00700","28832_1#229_00463","28832_1#253_00816","28832_1#340_00811","29102_1#74_00376","28832_1#265_01660","29102_1#189_01351","29102_1#200_01056","29102_1#43_01385","29102_1#185_01862","29102_1#270_01804","29102_1#14_01118","29102_1#144_00231","29102_1#133_00071","29102_1#217_00675","29102_1#290_01318","29102_1#108_00773","29102_1#320_00913","29102_1#183_01235","29102_1#125_01653","29102_1#186_00629","28832_1#134_01224","28832_1#278_01420","29102_1#101_01029","29102_1#97_00026","29102_1#41_01388","28832_1#223_00805","29102_1#213_00955","28832_1#189_00123","29102_1#71_01269","29102_1#57_01524","29102_1#230_02242","29102_1#209_00305","29102_1#227_01473","29102_1#33_00528","28832_1#280_00866","28832_1#162_00447","28832_1#332_01127","28832_1#273_00101","29102_1#167_01325","29102_1#90_01614","28832_1#157_01715","29102_1#54_00521"
"aroD","","3-dehydroquinate dehydratase, (3-dehydroquinase) (type I DHQase)","100","100","1","1","4591","","","","677","677","677","16288_3#7_00212","17138_5#50_00664","16288_7#10_00050","16288_7#12_00191","16288_7#20_00620","16288_3#12_00192","16288_3#14_01177","16288_8#60_01470","16288_3#34_00023","16288_3#43_01670","17138_5#56_00189","16288_7#55_00648","16288_7#74_00025","16288_7#82_01103","16288_7#83_00651","16288_8#40_00204","16288_8#44_00039","16288_8#47_00263","16288_8#50_00950","16288_3#71_01519","16288_3#81_00924","16288_3#54_02068","16288_4#43_00291","16288_4#49_00117","16288_4#52_00120","16288_4#59_00275","16288_4#69_00802","16288_4#73_00050","16288_4#83_00780","16288_5#5_00242","16288_5#46_01083","16288_5#19_00556","16288_5#23_00631","16288_5#31_00809","16288_5#33_01097","16288_5#40_00791","16288_5#44_01374","16288_5#45_00377","16288_5#54_00631","16288_5#60_00178","16288_5#75_01297","17138_5#13_02184","16288_6#15_00442","16288_6#30_00817","17138_5#31_01680","16288_6#49_00468","17138_5#34_00405","16288_6#73_00849","16288_8#64_00050","28832_1#91_01312","28832_1#9_01461","28832_1#113_01450","28832_1#125_00754","28832_1#324_01663","28832_1#160_01705","28832_1#245_00543","28832_1#116_00900","28832_1#145_00635","28832_1#229_00528","28832_1#253_00892","28832_1#340_01626","29102_1#74_00443","28832_1#265_01597","29102_1#189_01278","29102_1#200_00982","29102_1#43_01449","29102_1#185_01379","29102_1#270_02026","29102_1#14_02133","29102_1#144_00167","29102_1#133_00148","29102_1#217_00609","29102_1#290_01384","29102_1#108_00847","29102_1#320_00061","29102_1#183_01310","29102_1#125_01576","29102_1#186_00556","28832_1#134_01160","28832_1#278_01178","29102_1#101_01104","29102_1#97_01825","29102_1#41_01324","28832_1#223_00872","29102_1#213_01021","28832_1#189_00197","29102_1#71_01334","29102_1#57_00956","29102_1#230_00099","29102_1#209_00227","29102_1#227_00743","29102_1#33_00462","28832_1#280_02041","28832_1#162_00511","28832_1#332_01062","28832_1#273_00177","29102_1#167_00916","29102_1#90_01540","28832_1#157_00995","29102_1#54_00449"
"metP","","ABC transporter permease","100","100","1","1","6261","","","","692","692","692","16288_3#7_01002","17138_5#50_01701","16288_7#10_00708","16288_7#12_01664","16288_7#20_00743","16288_3#12_00384","16288_3#14_00189","16288_8#60_00254","16288_3#34_00761","16288_3#43_00179","17138_5#56_01618","16288_7#55_00303","16288_7#74_00255","16288_7#82_00528","16288_7#83_00070","16288_8#40_00428","16288_8#44_00386","16288_8#47_00345","16288_8#50_01385","16288_3#71_00091","16288_3#81_00413","16288_3#54_00109","16288_4#43_01794","16288_4#49_00557","16288_4#52_01317","16288_4#59_00120","16288_4#69_00151","16288_4#73_00871","16288_4#83_00253","16288_5#5_00517","16288_5#46_00357","16288_5#19_00182","16288_5#23_00780","16288_5#31_00650","16288_5#33_01916","16288_5#40_00601","16288_5#44_00377","16288_5#45_00236","16288_5#54_00506","16288_5#60_00631","16288_5#75_00856","17138_5#13_00884","16288_6#15_00179","16288_6#30_00127","17138_5#31_00567","16288_6#49_00050","17138_5#34_01246","16288_6#73_01880","16288_8#64_00206","28832_1#91_01613","28832_1#9_00597","28832_1#113_00378","28832_1#125_00073","28832_1#324_00305","28832_1#160_00140","28832_1#245_01034","28832_1#116_00566","28832_1#145_01026","28832_1#229_01269","28832_1#253_00373","28832_1#340_01421","29102_1#74_01385","28832_1#265_00073","29102_1#189_00619","29102_1#200_00694","29102_1#43_00398","29102_1#185_01120","29102_1#270_00517","29102_1#14_00692","29102_1#144_01230","29102_1#133_00736","29102_1#217_01307","29102_1#290_01644","29102_1#108_01037","29102_1#320_00510","29102_1#183_00660","29102_1#125_00858","29102_1#186_01000","28832_1#134_00768","28832_1#278_00959","29102_1#101_01600","29102_1#97_00534","29102_1#41_00792","28832_1#223_00288","29102_1#213_00575","28832_1#189_01096","29102_1#71_00757","29102_1#57_00340","29102_1#230_01137","29102_1#209_00704","29102_1#227_00551","29102_1#33_01882","28832_1#280_00666","28832_1#162_01607","28832_1#332_00797","28832_1#273_00583","29102_1#167_00712","29102_1#90_00413","28832_1#157_00006","29102_1#54_01113"
"rplU","","50S ribosomal protein L21","100","100","1","1","2795","","","","314","314","314","16288_3#7_01185","17138_5#50_01090","16288_7#10_01287","16288_7#12_01965","16288_7#20_01854","16288_3#12_01579","16288_3#14_00506","16288_8#60_00968","16288_3#34_00944","16288_3#43_01757","17138_5#56_01382","16288_7#55_01751","16288_7#74_01820","16288_7#82_01667","16288_7#83_00893","16288_8#40_01465","16288_8#44_01621","16288_8#47_01812","16288_8#50_01446","16288_3#71_00839","16288_3#81_01782","16288_3#54_01439","16288_4#43_01224","16288_4#49_01469","16288_4#52_00983","16288_4#59_01197","16288_4#69_01790","16288_4#73_01815","16288_4#83_01070","16288_5#5_01889","16288_5#46_01915","16288_5#19_01523","16288_5#23_01053","16288_5#31_02000","16288_5#33_00521","16288_5#40_00243","16288_5#44_01989","16288_5#45_01570","16288_5#54_02026","16288_5#60_01329","16288_5#75_01960","17138_5#13_01650","16288_6#15_01302","16288_6#30_01683","17138_5#31_01503","16288_6#49_01468","17138_5#34_01537","16288_6#73_01492","16288_8#64_01551","28832_1#91_00203","28832_1#9_02121","28832_1#113_01846","28832_1#125_01525","28832_1#324_01189","28832_1#160_01552","28832_1#245_00369","28832_1#116_02064","28832_1#145_01477","28832_1#229_01492","28832_1#253_01946","28832_1#340_00407","29102_1#74_01775","28832_1#265_01371","29102_1#189_00027","29102_1#200_01505","29102_1#43_01175","29102_1#185_00669","29102_1#270_01328","29102_1#14_01794","29102_1#144_01465","29102_1#133_00348","29102_1#217_01746","29102_1#290_01822","29102_1#108_01337","29102_1#320_00285","29102_1#183_01723","29102_1#125_00260","29102_1#186_00334","28832_1#134_01059","28832_1#278_01683","29102_1#101_00028","29102_1#97_01606","29102_1#41_00384","28832_1#223_01694","29102_1#213_02028","28832_1#189_00728","29102_1#71_00582","29102_1#57_00789","29102_1#230_00873","29102_1#209_00001","29102_1#227_00940","29102_1#33_01320","28832_1#280_01311","28832_1#162_00745","28832_1#332_01583","28832_1#273_00354","29102_1#167_02133","29102_1#90_01370","28832_1#157_00528","29102_1#54_00256"
"trpE","","anthranilate synthase component I","100","100","1","1","3414","","","","1361","1361","1361","16288_3#7_00772","17138_5#50_01391","16288_7#10_00366","16288_7#12_01494","16288_7#20_00063","16288_3#12_00581","16288_3#14_01634","16288_8#60_00410","16288_3#34_00312","16288_3#43_00280","17138_5#56_01057","16288_7#55_00940","16288_7#74_00731","16288_7#82_00666","16288_7#83_01316","16288_8#40_01163","16288_8#44_01689","16288_8#47_00798","16288_8#50_00394","16288_3#71_00668","16288_3#81_00227","16288_3#54_01552","16288_4#43_00511","16288_4#49_00406","16288_4#52_00606","16288_4#59_01937","16288_4#69_00491","16288_4#73_01434","16288_4#83_01255","16288_5#5_00721","16288_5#46_00610","16288_5#19_00330","16288_5#23_00944","16288_5#31_01345","16288_5#33_00091","16288_5#40_00004","16288_5#44_00725","16288_5#45_00963","16288_5#54_01197","16288_5#60_00713","16288_5#75_00720","17138_5#13_00072","16288_6#15_00695","16288_6#30_00705","17138_5#31_00957","16288_6#49_00961","17138_5#34_01076","16288_6#73_00534","16288_8#64_00631","28832_1#91_00887","28832_1#9_00833","28832_1#113_01685","28832_1#125_01292","28832_1#324_00522","28832_1#160_00980","28832_1#245_00087","28832_1#116_01867","28832_1#145_01237","28832_1#229_00051","28832_1#253_01062","28832_1#340_00571","29102_1#74_00066","28832_1#265_00600","29102_1#189_01614","29102_1#200_01683","29102_1#43_00786","29102_1#185_00063","29102_1#270_00862","29102_1#14_00597","29102_1#144_01671","29102_1#133_01893","29102_1#217_01649","29102_1#290_00527","29102_1#108_01517","29102_1#320_01996","29102_1#183_01915","29102_1#125_00609","29102_1#186_01738","28832_1#134_00287","28832_1#278_00606","29102_1#101_00692","29102_1#97_00359","29102_1#41_00041","28832_1#223_00491","29102_1#213_01353","28832_1#189_01689","29102_1#71_01182","29102_1#57_01448","29102_1#230_01766","29102_1#209_00627","29102_1#227_00070","29102_1#33_00832","28832_1#280_01511","28832_1#162_00063","28832_1#332_01343","28832_1#273_01622","29102_1#167_01238","29102_1#90_00236","28832_1#157_00450","29102_1#54_01616"
"degA_2","","LacI family transcriptional regulator","100","100","1","1","3466","","","","1001","1007","1006","16288_3#7_02022","17138_5#50_01947","16288_7#10_00400","16288_7#12_01847","16288_7#20_00031","16288_3#12_00613","16288_3#14_01601","16288_8#60_00379","16288_3#34_01951","16288_3#43_01572","17138_5#56_01025","16288_7#55_00909","16288_7#74_00761","16288_7#82_00636","16288_7#83_01348","16288_8#40_01132","16288_8#44_01062","16288_8#47_00828","16288_8#50_00364","16288_3#71_00699","16288_3#81_00258","16288_3#54_01888","16288_4#43_00540","16288_4#49_00377","16288_4#52_00636","16288_4#59_00815","16288_4#69_00461","16288_4#73_01404","16288_4#83_01223","16288_5#5_00691","16288_5#46_00580","16288_5#19_00300","16288_5#23_00975","16288_5#31_01316","16288_5#33_00062","16288_5#40_01640","16288_5#44_01297","16288_5#45_00993","16288_5#54_01229","16288_5#60_00682","16288_5#75_00752","17138_5#13_00040","16288_6#15_00724","16288_6#30_00735","17138_5#31_00922","16288_6#49_01626","17138_5#34_01126","16288_6#73_00501","16288_8#64_00661","28832_1#91_00857","28832_1#9_00799","28832_1#113_01716","28832_1#125_01258","28832_1#324_00492","28832_1#160_00950","28832_1#245_00056","28832_1#116_01837","28832_1#145_01206","28832_1#229_00018","28832_1#253_01030","28832_1#340_00542","29102_1#74_00034","28832_1#265_00570","29102_1#189_01646","29102_1#200_01650","29102_1#43_02042","29102_1#185_00031","29102_1#270_01719","29102_1#14_00565","29102_1#144_01702","29102_1#133_01758","29102_1#217_01618","29102_1#290_00558","29102_1#108_01487","29102_1#320_01756","29102_1#183_01885","29102_1#125_00028","29102_1#186_01771","28832_1#134_02108","28832_1#278_00574","29102_1#101_00662","29102_1#97_02126","29102_1#41_02021","28832_1#223_00458","29102_1#213_01322","28832_1#189_01656","29102_1#71_01213","29102_1#57_01483","29102_1#230_01797","29102_1#209_01687","29102_1#227_00040","29102_1#33_00796","28832_1#280_01544","28832_1#162_00032","28832_1#332_01312","28832_1#273_01592","29102_1#167_01205","29102_1#90_00267","28832_1#157_00419","29102_1#54_01583"
"tadA","","cytidine/deoxycytidylate deaminase","100","100","1","1","1034","","","","467","467","467","16288_3#7_01087","17138_5#50_01600","16288_7#10_01954","16288_7#12_01486","16288_7#20_02112","16288_3#12_02203","16288_3#14_02196","16288_8#60_01202","16288_3#34_01802","16288_3#43_01002","17138_5#56_01162","16288_7#55_01873","16288_7#74_02138","16288_7#82_01411","16288_7#83_01872","16288_8#40_00924","16288_8#44_02184","16288_8#47_01242","16288_8#50_00907","16288_3#71_01247","16288_3#81_00291","16288_3#54_00236","16288_4#43_02155","16288_4#49_01333","16288_4#52_02020","16288_4#59_01295","16288_4#69_02024","16288_4#73_01763","16288_4#83_01971","16288_5#5_01469","16288_5#46_01907","16288_5#19_01711","16288_5#23_02111","16288_5#31_01230","16288_5#33_01957","16288_5#40_02014","16288_5#44_02060","16288_5#45_01662","16288_5#54_02199","16288_5#60_00888","16288_5#75_01871","17138_5#13_01636","16288_6#15_02086","16288_6#30_01902","17138_5#31_02191","16288_6#49_02078","17138_5#34_00253","16288_6#73_01934","16288_8#64_01735","28832_1#91_01744","28832_1#9_00738","28832_1#113_00503","28832_1#125_01686","28832_1#324_00430","28832_1#160_00272","28832_1#245_01660","28832_1#116_00718","28832_1#145_01144","28832_1#229_02002","28832_1#253_01537","28832_1#340_01792","29102_1#74_01637","28832_1#265_01944","29102_1#189_00741","29102_1#200_00827","29102_1#43_00529","29102_1#185_02077","29102_1#270_02000","29102_1#14_02263","29102_1#144_01355","29102_1#133_01954","29102_1#217_01434","29102_1#290_01771","29102_1#108_01903","29102_1#320_00391","29102_1#183_00533","29102_1#125_02081","29102_1#186_02116","28832_1#134_00642","28832_1#278_01090","29102_1#101_01725","29102_1#97_01713","29102_1#41_01529","28832_1#223_00409","29102_1#213_01857","28832_1#189_02133","29102_1#71_00642","29102_1#57_01905","29102_1#230_00999","29102_1#209_01885","29102_1#227_00691","29102_1#33_01869","28832_1#280_00479","28832_1#162_01723","28832_1#332_00916","28832_1#273_01943","29102_1#167_00862","29102_1#90_01910","28832_1#157_01188","29102_1#54_01916"
"artP_1","","glutamine ABC transporter substrate-binding protein","100","100","1","1","4726","","","","833","848","836","16288_3#7_00113","17138_5#50_00564","16288_7#10_01378","16288_7#12_00083","16288_7#20_00432","16288_3#12_00092","16288_3#14_01495","16288_8#60_01422","16288_3#34_00122","16288_3#43_00820","17138_5#56_00080","16288_7#55_01847","16288_7#74_00133","16288_7#82_00396","16288_7#83_01582","16288_8#40_00091","16288_8#44_00148","16288_8#47_00154","16288_8#50_01588","16288_3#71_00407","16288_3#81_01924","16288_3#54_01829","16288_4#43_00192","16288_4#49_00015","16288_4#52_00014","16288_4#59_01766","16288_4#69_00396","16288_4#73_01316","16288_4#83_01328","16288_5#5_00144","16288_5#46_01245","16288_5#19_00453","16288_5#23_01970","16288_5#31_00906","16288_5#33_01796","16288_5#40_00681","16288_5#44_01542","16288_5#45_02054","16288_5#54_01360","16288_5#60_00275","16288_5#75_02129","17138_5#13_01503","16288_6#15_01100","16288_6#30_01727","17138_5#31_01789","16288_6#49_01885","17138_5#34_02061","16288_6#73_01920","16288_8#64_01129","28832_1#91_01201","28832_1#9_01110","28832_1#113_01220","28832_1#125_01065","28832_1#324_01762","28832_1#160_00713","28832_1#245_00430","28832_1#116_01022","28832_1#145_00737","28832_1#229_02081","28832_1#253_00008","28832_1#340_00774","29102_1#74_00341","28832_1#265_01695","29102_1#189_00989","29102_1#200_00259","29102_1#43_01349","29102_1#185_00382","29102_1#270_01771","29102_1#14_01573","29102_1#144_00266","29102_1#133_00038","29102_1#217_00710","29102_1#290_01282","29102_1#108_00739","29102_1#320_00877","29102_1#183_01201","29102_1#125_01686","29102_1#186_00670","28832_1#134_01260","28832_1#278_01455","29102_1#101_00994","29102_1#97_00060","29102_1#41_01424","28832_1#223_00770","29102_1#213_00921","28832_1#189_00085","29102_1#71_01233","29102_1#57_01631","29102_1#230_02205","29102_1#209_00338","29102_1#227_01437","29102_1#33_00563","28832_1#280_00829","28832_1#162_00411","28832_1#332_01164","28832_1#273_00065","29102_1#167_01761","29102_1#90_01651","28832_1#157_01680","29102_1#54_00560"
"psaC","","manganese ABC transporter permease","100","100","1","1","5192","","","","848","848","848","16288_3#7_00283","17138_5#50_00517","16288_7#10_01040","16288_7#12_01301","16288_7#20_00211","16288_3#12_00684","16288_3#14_00059","16288_8#60_00563","16288_3#34_00471","16288_3#43_00427","17138_5#56_00923","16288_7#55_01980","16288_7#74_01578","16288_7#82_01860","16288_7#83_01020","16288_8#40_01329","16288_8#44_00267","16288_8#47_00901","16288_8#50_00697","16288_3#71_01940","16288_3#81_00077","16288_3#54_01311","16288_4#43_00836","16288_4#49_00608","16288_4#52_00170","16288_4#59_00062","16288_4#69_00252","16288_4#73_00488","16288_4#83_00920","16288_5#5_01127","16288_5#46_00718","16288_5#19_01589","16288_5#23_00119","16288_5#31_00069","16288_5#33_00913","16288_5#40_00947","16288_5#44_00879","16288_5#45_00749","16288_5#54_00735","16288_5#60_01099","16288_5#75_00572","17138_5#13_00220","16288_6#15_00319","16288_6#30_00499","17138_5#31_01129","16288_6#49_00237","17138_5#34_02259","16288_6#73_00118","16288_8#64_00833","28832_1#91_01045","28832_1#9_00976","28832_1#113_01068","28832_1#125_01366","28832_1#324_00681","28832_1#160_00846","28832_1#245_00226","28832_1#116_01220","28832_1#145_01391","28832_1#229_01360","28832_1#253_00136","28832_1#340_01529","29102_1#74_00213","28832_1#265_00758","29102_1#189_00314","29102_1#200_00124","29102_1#43_00939","29102_1#185_00247","29102_1#270_01016","29102_1#14_00372","29102_1#144_00418","29102_1#133_01254","29102_1#217_00838","29102_1#290_01154","29102_1#108_00606","29102_1#320_00751","29102_1#183_01002","29102_1#125_00454","29102_1#186_00801","28832_1#134_00128","28832_1#278_00755","29102_1#101_00850","29102_1#97_00201","29102_1#41_00200","28832_1#223_00639","29102_1#213_01133","28832_1#189_02107","29102_1#71_01510","29102_1#57_01199","29102_1#230_01395","29102_1#209_00472","29102_1#227_00242","29102_1#33_01588","28832_1#280_02062","28832_1#162_00211","28832_1#332_01497","28832_1#273_00983","29102_1#167_01098","29102_1#90_00056","28832_1#157_01104","29102_1#54_01488"
"pepV","","peptidase M20 superfamily","100","100","1","1","1931","","","","1400","1400","1400","16288_3#7_01917","17138_5#50_00292","16288_7#10_01855","16288_7#12_00970","16288_7#20_01310","16288_3#12_00979","16288_3#14_00776","16288_8#60_00775","16288_3#34_01151","16288_3#43_00610","17138_5#56_00601","16288_7#55_01171","16288_7#74_00441","16288_7#82_00930","16288_7#83_00478","16288_8#40_00406","16288_8#44_00872","16288_8#47_01736","16288_8#50_01045","16288_3#71_01614","16288_3#81_01247","16288_3#54_00645","16288_4#43_00920","16288_4#49_00209","16288_4#52_01098","16288_4#59_02022","16288_4#69_01083","16288_4#73_01720","16288_4#83_01778","16288_5#5_00813","16288_5#46_01541","16288_5#19_00959","16288_5#23_01191","16288_5#31_00250","16288_5#33_00321","16288_5#40_00990","16288_5#44_00229","16288_5#45_00629","16288_5#54_01105","16288_5#60_01550","16288_5#75_00478","17138_5#13_02132","16288_6#15_01157","16288_6#30_00425","17138_5#31_00292","16288_6#49_01416","17138_5#34_00108","16288_6#73_00284","16288_8#64_01633","28832_1#91_00665","28832_1#9_00181","28832_1#113_00873","28832_1#125_00967","28832_1#324_01146","28832_1#160_01789","28832_1#245_01332","28832_1#116_00447","28832_1#145_00419","28832_1#229_00207","28832_1#253_00581","28832_1#340_00164","29102_1#74_01713","28832_1#265_00498","29102_1#189_01432","29102_1#200_01522","29102_1#43_00717","29102_1#185_01627","29102_1#270_00128","29102_1#14_00939","29102_1#144_00612","29102_1#133_01015","29102_1#217_00402","29102_1#290_00401","29102_1#108_00240","29102_1#320_01123","29102_1#183_00342","29102_1#125_01294","29102_1#186_00178","28832_1#134_00875","28832_1#278_01337","29102_1#101_00470","29102_1#97_00872","29102_1#41_01183","28832_1#223_01509","29102_1#213_00273","28832_1#189_01244","29102_1#71_00267","29102_1#57_01810","29102_1#230_00442","29102_1#209_01305","29102_1#227_01139","29102_1#33_00243","28832_1#280_00312","28832_1#162_01215","28832_1#332_00043","28832_1#273_00671","29102_1#167_02109","29102_1#90_01320","28832_1#157_00857","29102_1#54_00764"
"group_6447","","major facilitator superfamily permease","100","100","1","1","6269","","","","533","533","533","16288_3#7_01007","17138_5#50_01706","16288_7#10_00703","16288_7#12_01659","16288_7#20_00748","16288_3#12_00379","16288_3#14_00194","16288_8#60_00249","16288_3#34_00756","16288_3#43_00174","17138_5#56_01613","16288_7#55_00298","16288_7#74_00260","16288_7#82_00523","16288_7#83_00075","16288_8#40_00433","16288_8#44_00381","16288_8#47_00350","16288_8#50_01390","16288_3#71_00086","16288_3#81_00418","16288_3#54_00104","16288_4#43_01789","16288_4#49_00552","16288_4#52_01312","16288_4#59_00115","16288_4#69_00146","16288_4#73_00866","16288_4#83_00248","16288_5#5_00512","16288_5#46_00362","16288_5#19_00177","16288_5#23_00775","16288_5#31_00645","16288_5#33_01911","16288_5#40_00596","16288_5#44_00382","16288_5#45_00231","16288_5#54_00501","16288_5#60_00626","16288_5#75_00861","17138_5#13_00889","16288_6#15_00174","16288_6#30_00122","17138_5#31_00572","16288_6#49_00055","17138_5#34_01241","16288_6#73_01875","16288_8#64_00211","28832_1#91_01608","28832_1#9_00592","28832_1#113_00373","28832_1#125_00078","28832_1#324_00300","28832_1#160_00135","28832_1#245_01029","28832_1#116_00561","28832_1#145_01021","28832_1#229_01264","28832_1#253_00368","28832_1#340_01416","29102_1#74_01380","28832_1#265_00078","29102_1#189_00614","29102_1#200_00689","29102_1#43_00393","29102_1#185_01115","29102_1#270_00512","29102_1#14_00687","29102_1#144_01225","29102_1#133_00731","29102_1#217_01301","29102_1#290_01639","29102_1#108_01032","29102_1#320_00515","29102_1#183_00665","29102_1#125_00853","29102_1#186_01005","28832_1#134_00773","28832_1#278_00278","29102_1#101_01595","29102_1#97_00529","29102_1#41_00797","28832_1#223_00283","29102_1#213_00570","28832_1#189_01091","29102_1#71_00762","29102_1#57_00335","29102_1#230_01142","29102_1#209_00709","29102_1#227_00546","29102_1#33_01877","28832_1#280_00672","28832_1#162_01602","28832_1#332_00792","28832_1#273_00578","29102_1#167_00682","29102_1#90_00418","28832_1#157_00011","29102_1#54_01108"
"fbpC2","","ABC transporter ATP-binding protein","100","100","1","1","5515","","","","647","647","647","16288_3#7_01549","17138_5#50_02126","16288_7#10_00239","16288_7#12_00245","16288_7#20_00473","16288_3#12_00909","16288_3#14_01936","16288_8#60_00702","16288_3#34_01699","16288_3#43_00677","17138_5#56_01461","16288_7#55_00451","16288_7#74_01241","16288_7#82_01480","16288_7#83_00403","16288_8#40_00337","16288_8#44_00734","16288_8#47_00536","16288_8#50_00141","16288_3#71_00559","16288_3#81_01314","16288_3#54_00568","16288_4#43_00646","16288_4#49_01919","16288_4#52_00369","16288_4#59_00997","16288_4#69_00948","16288_4#73_00227","16288_4#83_00549","16288_5#5_00995","16288_5#46_01721","16288_5#19_00796","16288_5#23_02086","16288_5#31_00175","16288_5#33_01981","16288_5#40_01394","16288_5#44_00164","16288_5#45_00560","16288_5#54_01035","16288_5#60_01005","16288_5#75_00406","17138_5#13_00392","16288_6#15_01365","16288_6#30_00358","17138_5#31_00221","16288_6#49_00327","17138_5#34_00005","16288_6#73_00185","16288_8#64_00531","28832_1#91_00601","28832_1#9_00102","28832_1#113_00805","28832_1#125_00889","28832_1#324_00924","28832_1#160_01935","28832_1#245_01441","28832_1#116_00372","28832_1#145_00351","28832_1#229_00139","28832_1#253_00501","28832_1#340_00243","29102_1#74_01851","28832_1#265_01784","29102_1#189_01030","29102_1#200_01588","29102_1#43_00650","29102_1#185_01988","29102_1#270_00063","29102_1#14_00869","29102_1#144_00680","29102_1#133_01083","29102_1#217_00336","29102_1#290_00335","29102_1#108_00307","29102_1#320_01054","29102_1#183_00277","29102_1#125_01360","29102_1#186_00101","28832_1#134_00807","28832_1#278_01406","29102_1#101_00404","29102_1#97_00805","29102_1#41_01116","28832_1#223_01439","29102_1#213_00203","28832_1#189_01787","29102_1#71_00200","29102_1#57_01765","29102_1#230_00374","29102_1#209_01371","29102_1#227_01641","29102_1#33_00175","28832_1#280_00238","28832_1#162_01138","28832_1#332_00111","28832_1#273_01277","29102_1#167_01991","29102_1#90_01252","28832_1#157_00937","29102_1#54_00841"
